,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8
responden 1,4,3,1,4,1,4,0,4
responden 2,4,3,3,3,2,1,1,4
responden 3,4,3,4,4,2,3,2,3
responden 4,4,3,3,4,1,3,2,3
responden 5,3,1,1,3,3,3,2,4
responden 6,3,2,1,4,3,3,1,3
responden 7,3,3,1,3,2,2,3,3
responden 8,3,3,1,4,2,4,1,2
responden 9,4,3,1,4,2,3,1,3
responden 10,4,3,1,3,3,3,3,4
responden 11,4,3,3,4,1,4,1,2
responden 12,2,3,2,3,1,3,2,3
responden 13,4,4,4,3,4,4,0,4
responden 14,4,3,2,4,2,3,1,2
responden 15,3,3,2,3,2,3,1,2
responden 16,3,1,2,4,2,3,1,2
responden 17,3,3,1,3,2,3,1,2
responden 18,3,1,1,4,1,3,1,4
responden 19,3,3,1,4,3,3,1,3
responden 20,3,3,3,4,1,3,0,3
responden 21,3,1,1,3,1,4,1,2
responden 22,3,3,3,3,4,4,1,3
responden 23,3,3,1,4,2,3,1,2
responden 24,4,3,1,4,2,4,1,2
responden 25,3,3,2,4,2,3,1,3
responden 26,4,3,3,4,1,3,1,3
responden 27,4,3,3,2,2,3,1,3
responden 28,4,3,3,4,3,4,2,2
responden 29,2,4,3,3,3,4,2,3
responden 30,3,3,1,3,2,4,1,2
responden 31,3,3,3,4,3,3,2,3
responden 32,2,3,1,3,2,3,1,1
responden 33,3,2,3,4,2,4,2,3
responden 34,3,3,3,3,3,3,2,2
responden 35,2,1,1,4,1,4,2,2
responden 36,3,1,3,4,2,4,3,4
responden 37,3,1,1,3,3,3,3,3
responden 38,3,2,3,4,3,3,2,3
responden 39,3,2,4,2,3,1,2,3
responden 40,3,3,1,2,2,4,1,2
responden 41,3,3,3,4,1,3,1,2
responden 42,4,3,1,3,1,4,1,1
responden 43,4,3,1,3,1,4,1,4
responden 44,4,4,4,4,4,4,0,4
responden 45,4,3,2,3,2,3,1,2
responden 46,3,2,3,3,3,3,0,4
responden 47,3,3,1,3,1,2,2,3
responden 48,2,3,1,1,3,2,1,4
responden 49,3,3,3,3,2,4,1,2
responden 50,4,4,4,4,4,4,0,4
responden 51,4,3,4,4,4,1,4,3
responden 52,3,3,3,3,2,3,4,2
responden 53,3,3,3,4,1,3,2,2
responden 54,2,1,1,3,0,3,1,2
responden 55,3,2,1,3,4,4,0,2
responden 56,3,2,3,4,1,4,1,3
responden 57,4,1,3,3,3,2,0,2
responden 58,3,3,3,4,3,3,1,3
responden 59,3,3,1,4,4,4,2,3
responden 60,3,2,1,3,3,3,1,2
responden 61,3,4,3,4,1,4,1,2
responden 62,3,3,1,3,4,3,0,2
responden 63,3,3,1,3,4,3,0,2
responden 64,4,2,3,4,2,3,1,4
responden 65,4,3,1,4,2,4,1,4
responden 66,4,3,2,4,3,3,2,4
responden 67,4,4,3,4,3,4,2,3
responden 68,4,4,3,4,3,4,1,3
responden 69,4,1,4,4,3,4,1,4
responden 70,4,1,4,4,3,4,1,4
responden 71,4,4,1,4,2,4,1,3
responden 72,4,3,3,3,2,3,2,3
responden 73,4,3,2,3,2,3,4,2
responden 74,2,3,4,3,3,3,1,3
responden 75,4,3,4,4,1,3,0,1
responden 76,2,1,4,4,1,3,1,3
responden 77,4,0,1,4,2,3,1,3
responden 78,4,4,3,4,2,4,0,3
responden 79,3,2,2,3,2,4,1,2
responden 80,3,4,3,4,3,4,1,3
responden 81,3,3,3,4,3,3,1,1
responden 82,4,3,3,4,2,3,1,3
responden 83,4,3,3,4,2,4,4,3
responden 84,3,2,1,4,3,3,1,2
responden 85,4,3,3,4,3,4,3,3
responden 86,3,3,2,4,3,3,1,3
responden 87,3,2,4,3,2,4,1,1
responden 88,4,3,4,4,2,3,2,4
responden 89,3,4,4,4,3,4,0,2
responden 90,3,2,1,3,2,3,1,3
responden 91,4,3,3,2,1,1,3,1
responden 92,3,3,2,4,3,4,1,3
responden 93,4,1,1,4,2,2,1,2
responden 94,4,3,3,4,3,3,2,3
responden 95,3,4,3,4,3,3,2,4
responden 96,4,2,1,4,3,4,0,2
responden 97,3,1,4,4,3,3,1,2
responden 98,3,2,3,4,1,3,1,3
responden 99,4,3,4,3,2,3,2,2
responden 100,3,3,4,4,3,2,4,4
responden 101,3,3,4,4,3,2,4,4
responden 102,4,4,3,4,3,4,1,3
responden 103,3,3,3,3,1,3,1,3
responden 104,4,3,3,4,2,3,0,3
responden 105,4,3,3,4,1,3,1,3
responden 106,3,2,3,4,2,3,1,3
responden 107,4,1,1,3,2,3,0,2
responden 108,3,3,2,3,2,3,2,2
responden 109,4,2,1,4,3,4,0,2
responden 110,3,3,3,4,2,4,2,2
responden 111,4,2,1,4,3,4,2,3
responden 112,3,3,1,4,2,4,2,3
responden 113,3,3,3,3,2,3,3,3
responden 114,4,4,2,4,3,4,2,3
responden 115,3,1,1,3,3,3,1,3
responden 116,3,2,1,3,1,2,2,2
responden 117,3,1,1,3,3,1,1,3
responden 118,4,4,4,4,3,4,2,4
responden 119,3,3,3,3,2,4,0,3
responden 120,3,3,4,4,4,4,1,4
responden 121,4,3,3,4,2,4,1,2
responden 122,4,1,1,4,3,4,2,3
responden 123,3,3,3,3,3,4,1,3
responden 124,4,3,2,3,1,3,2,4
responden 125,3,3,2,4,3,3,1,2
responden 126,4,2,3,3,3,4,1,3
responden 127,4,4,4,1,4,1,3,1
responden 128,3,3,3,4,3,2,1,3
responden 129,4,4,3,4,3,3,1,4
responden 130,3,1,1,3,3,3,1,3
responden 131,4,3,1,4,1,4,1,4
responden 132,3,3,1,2,3,3,1,2
responden 133,2,1,1,4,3,4,2,2
responden 134,3,3,1,4,2,4,1,4
responden 135,3,2,3,4,3,4,1,2
responden 136,4,1,3,4,1,2,1,3
responden 137,3,2,3,4,2,3,1,2
responden 138,3,2,0,3,2,4,1,3
responden 139,4,1,1,4,2,4,1,3
responden 140,3,3,2,3,2,3,1,1
responden 141,3,4,3,4,4,4,2,3
responden 142,4,2,3,4,1,4,1,2
responden 143,3,1,1,4,3,3,1,3
responden 144,4,3,1,2,2,4,3,4
responden 145,4,4,4,4,1,4,0,4
responden 146,3,2,1,4,2,3,2,3
responden 147,3,2,3,4,2,4,1,3
responden 148,4,2,4,4,2,4,1,4
responden 149,2,1,1,2,2,2,2,2
responden 150,2,4,0,3,3,3,1,2
responden 151,4,3,3,4,3,4,1,2
responden 152,3,2,3,3,3,2,1,2
responden 153,4,3,3,4,3,4,3,4
responden 154,4,1,1,4,4,4,1,3
responden 155,3,3,3,3,1,2,1,3
responden 156,4,4,4,4,4,3,0,4
responden 157,4,4,2,4,3,4,2,4
responden 158,4,3,2,3,4,3,1,3
responden 159,3,1,1,4,2,2,1,2
responden 160,3,2,3,3,3,3,1,3
responden 161,4,3,2,4,3,3,2,3
responden 162,3,3,3,3,1,4,1,3
responden 163,4,3,4,4,4,4,1,4
responden 164,3,1,1,3,1,2,1,3
responden 165,4,3,3,4,3,3,1,3
responden 166,3,3,2,3,3,3,1,3
responden 167,4,1,1,4,4,4,1,3
responden 168,4,2,2,4,3,3,3,3
responden 169,3,2,3,4,3,3,2,3
responden 170,4,3,4,3,1,3,2,2
responden 171,3,2,3,4,3,3,2,3
responden 172,3,3,3,4,2,3,2,3
responden 173,4,2,2,3,2,4,0,3
responden 174,3,3,2,4,2,2,1,2
responden 175,4,3,4,4,4,4,1,3
responden 176,3,3,3,4,2,3,1,2
responden 177,3,3,3,4,2,3,1,3
responden 178,3,3,2,4,3,2,1,3
responden 179,3,3,3,3,2,3,1,2
responden 180,4,4,1,3,2,3,1,3
responden 181,3,4,2,4,2,2,0,2
